Date,Open,High,Low,Close,Adj Close,P/L,GGLL,Date,Open,High,Low,Close,Adj Close,P/L,ratio,___,
18-May-23,120.95,123.31,120.83,122.83,122.25,1.647%,,18-May-23,27.67,28.35,27.56,28.26,26.6,2.614%,1.59,-20.62%,
17-May-23,119.61,121.67,118.89,120.84,120.27,1.113%,,17-May-23,27.13,27.84,26.97,27.54,25.93,1.511%,1.36,-32.10%,
16-May-23,116.49,120.75,116.43,119.51,118.94,2.575%,,16-May-23,26.11,27.5,26.11,27.13,25.54,3.827%,1.49,-25.69%,
15-May-23,116.11,118.48,116.01,116.51,115.96,-0.851%,,15-May-23,25.99,26.64,25.99,26.13,24.6,-1.247%,1.47,-26.72%,
12-May-23,116.68,118.03,116.11,117.51,116.95,0.806%,,12-May-23,26.2,26.51,26,26.46,24.91,1.263%,1.57,-21.69%,
11-May-23,115.4,117.92,114.41,116.57,116.02,4.313%,,11-May-23,25.79,26.59,25.45,26.13,24.6,6.393%,1.48,-25.90%,
10-May-23,107.97,112.94,107.93,111.75,111.22,4.099%,,10-May-23,23.38,24.95,23.38,24.56,23.12,5.999%,1.46,-26.82%,
9-May-23,108.39,110.15,107.19,107.35,106.84,-0.390%,,9-May-23,23.66,24,23.13,23.17,21.81,-0.473%,1.21,-39.38%,
8-May-23,105.18,107.96,105.16,107.77,107.26,2.084%,,8-May-23,22.41,23.31,22.41,23.28,21.92,3.146%,1.51,-24.52%,
5-May-23,104.82,105.88,104.11,105.57,105.07,0.841%,,5-May-23,22.3,22.65,22.16,22.57,21.25,1.075%,1.28,-36.07%,
4-May-23,105.49,105.6,103.97,104.69,104.19,-0.683%,,4-May-23,22.53,22.54,22.09,22.33,21.02,-0.888%,1.30,-35.02%,
3-May-23,105.53,107.49,104.96,105.41,104.91,0.085%,,3-May-23,22.53,23.19,22.42,22.53,21.21,-0.044%,-0.52,-125.96%,
2-May-23,107.14,107.2,103.71,105.32,104.82,-1.754%,,2-May-23,23.09,23.09,22.02,22.54,21.22,-2.466%,1.41,-29.68%,
1-May-23,106.84,107.99,106.82,107.2,106.69,-0.130%,,1-May-23,23.06,23.35,23.03,23.11,21.76,-0.216%,1.66,-17.24%,
28-Apr-23,107.04,107.35,105.09,107.34,106.83,-0.232%,,28-Apr-23,23.07,23.16,22.45,23.16,21.8,-0.430%,1.85,-7.49%,
27-Apr-23,104.45,108.37,103.54,107.59,107.08,3.741%,,27-Apr-23,22.14,23.5,22.07,23.26,21.9,5.679%,1.52,-24.10%,
26-Apr-23,104.92,106.35,102.63,103.71,103.22,-0.135%,,26-Apr-23,22.4,22.86,21.73,22.01,20.72,-0.452%,3.35,67.75%,
25-Apr-23,105.83,106.69,103.84,103.85,103.36,-2.001%,,25-Apr-23,22.76,22.93,22.1,22.11,20.81,-3.026%,1.51,-24.36%,
24-Apr-23,105.49,106.63,104.7,105.97,105.47,0.531%,,24-Apr-23,22.63,22.97,22.4,22.8,21.46,0.796%,1.50,-25.11%,
21-Apr-23,105.47,106,104.78,105.41,104.91,0.114%,,21-Apr-23,22.66,22.75,22.44,22.62,21.29,0.133%,1.17,-41.74%,
20-Apr-23,103.91,106.25,103.87,105.29,104.79,1.065%,,20-Apr-23,22.15,22.85,22.15,22.59,21.27,1.574%,1.48,-26.15%,
19-Apr-23,103.58,104.98,103.07,104.18,103.68,-0.306%,,19-Apr-23,22.05,22.47,21.89,22.24,20.94,-0.403%,1.32,-34.19%,
18-Apr-23,106.49,106.54,104.07,104.5,104,-1.387%,,18-Apr-23,22.89,22.95,22.2,22.33,21.02,-2.018%,1.46,-27.25%,
17-Apr-23,104.66,106.16,104.52,105.97,105.47,-2.664%,,17-Apr-23,22.24,22.83,22.24,22.79,21.45,-4.002%,1.50,-24.89%,
14-Apr-23,106.89,108.94,106.84,108.87,108.35,1.340%,,14-Apr-23,23.21,23.78,23.19,23.74,22.35,1.845%,1.38,-31.19%,
13-Apr-23,105.84,107.49,105.84,107.43,106.92,2.666%,,13-Apr-23,22.83,23.31,22.83,23.31,21.94,3.923%,1.47,-26.43%,
12-Apr-23,106.58,106.75,104.34,104.64,104.14,-0.674%,,12-Apr-23,23.05,23.06,22.35,22.43,21.12,-1.015%,1.51,-24.70%,
11-Apr-23,106.55,106.73,104.68,105.35,104.85,-1.024%,,11-Apr-23,23.04,23.04,22.43,22.66,21.33,-1.564%,1.53,-23.64%,
10-Apr-23,106.98,107.59,105.12,106.44,105.93,-1.826%,,10-Apr-23,23.16,23.27,22.6,23.02,21.67,-2.623%,1.44,-28.19%,
6-Apr-23,105.26,109.17,104.33,108.42,107.9,3.781%,,6-Apr-23,22.67,23.86,22.35,23.64,22.25,5.536%,1.46,-26.80%,
5-Apr-23,105.78,106.1,103.66,104.47,103.97,-0.239%,,5-Apr-23,22.79,22.85,22.15,22.4,21.09,-0.489%,2.05,2.35%,
4-Apr-23,104.33,105.58,104.04,104.72,104.22,0.345%,,4-Apr-23,22.29,22.74,22.29,22.51,21.19,0.536%,1.55,-22.32%,
3-Apr-23,102.39,104.53,101.93,104.36,103.86,0.607%,,3-Apr-23,21.77,22.4,21.69,22.39,21.08,0.992%,1.63,-18.31%,
31-Mar-23,101.3,103.89,101.04,103.73,103.24,2.815%,,31-Mar-23,21.34,22.17,21.34,22.17,20.87,4.329%,1.54,-23.10%,
30-Mar-23,100.91,101.16,99.78,100.89,100.41,-0.493%,,30-Mar-23,21.3,21.3,20.94,21.25,20,-0.886%,1.80,-10.15%,
29-Mar-23,102.28,102.49,100.65,101.39,100.91,0.356%,,29-Mar-23,21.82,21.82,21.27,21.44,20.18,0.563%,1.58,-21.02%,
28-Mar-23,102.44,102.45,99.74,101.03,100.55,-1.396%,,28-Mar-23,21.7,21.74,20.94,21.32,20.07,-2.247%,1.61,-19.51%,
27-Mar-23,104.62,104.76,101.93,102.46,101.97,-2.826%,,27-Mar-23,22.63,22.63,21.64,21.81,20.53,-3.963%,1.40,-29.89%,
24-Mar-23,104.99,105.49,103.84,105.44,104.94,-0.152%,,24-Mar-23,22.65,22.78,22.32,22.71,21.38,-0.482%,3.18,59.07%,
23-Mar-23,105.06,106.3,104.46,105.6,105.1,2.157%,,23-Mar-23,22.65,23.03,22.48,22.82,21.48,3.165%,1.47,-26.65%,
22-Mar-23,104.27,106.59,103.33,103.37,102.88,-1.477%,,22-Mar-23,22.42,23.1,22.11,22.12,20.82,-2.081%,1.41,-29.58%,
21-Mar-23,101.25,105.1,101.22,104.92,104.42,3.655%,,21-Mar-23,21.4,22.67,21.4,22.59,21.27,5.070%,1.39,-30.65%,
20-Mar-23,100.12,101.75,99.87,101.22,100.74,-0.394%,,20-Mar-23,21.14,21.62,21.1,21.5,20.18,-0.555%,1.41,-29.50%,
17-Mar-23,100.26,102.84,100.1,101.62,101.14,1.296%,,17-Mar-23,21.08,22,21.08,21.62,20.29,1.885%,1.45,-27.27%,
16-Mar-23,96.2,101.19,95.5,100.32,99.84,4.380%,,16-Mar-23,20,21.5,19.82,21.22,19.91,6.100%,1.39,-30.37%,
15-Mar-23,93.22,96.93,92.64,96.11,95.65,2.277%,,15-Mar-23,19.09,20.17,18.88,20,18.77,3.681%,1.62,-19.19%,
14-Mar-23,92.56,94.36,92.44,93.97,93.52,3.139%,,14-Mar-23,18.82,19.38,18.82,19.29,18.1,4.723%,1.50,-24.77%,
13-Mar-23,90.09,92.57,89.42,91.11,90.68,0.530%,,13-Mar-23,18.07,18.84,17.99,18.42,17.29,0.876%,1.65,-17.28%,
10-Mar-23,92.17,92.79,90.4,90.63,90.2,-1.831%,,10-Mar-23,18.73,18.86,18.21,18.26,17.14,-2.924%,1.60,-20.14%,
9-Mar-23,94.05,95.53,91.9,92.32,91.88,-2.048%,,9-Mar-23,19.31,19.77,18.68,18.81,17.65,-3.141%,1.53,-23.30%,
8-Mar-23,94.12,95.96,94,94.25,93.8,0.416%,,8-Mar-23,19.33,19.9,19.33,19.42,18.22,0.674%,1.62,-18.90%,
7-Mar-23,94.98,95.67,93.53,93.86,93.41,-1.335%,,7-Mar-23,19.66,19.77,19.19,19.29,18.1,-1.882%,1.41,-29.51%,
